Points_Id,Lat,Lon
138,32.7567766400000,35.2193819700000
139,32.2253356500000,35.3480299000000
140,31.6544300700000,35.1274039200000
141,32.7288019500000,35.1705797500000
142,33.0437179400000,35.8386968300000
143,32.5104649300000,35.0041579400000
144,32.7169887700000,35.1450526800000
145,32.8049434600000,35.7342026900000
3123,31.5297385300000,34.9312075000000
146,32.4082187200000,34.9216722500000
147,29.7963614900000,35.0114724100000
148,32.9474005900000,35.5486863300000
149,32.6313433100000,35.0672372800000
150,32.3808881200000,34.9098616200000
151,32.1535987800000,34.9280016900000
152,32.9131889800000,35.6028620300000
153,31.7886035200000,35.4615055800000
154,32.0507873700000,34.9520247500000
155,32.0491309700000,34.9467725000000
156,32.0470764500000,34.9609115000000
157,32.0492892800000,34.9591691700000
158,32.0500680300000,34.9555150000000
